"caswgt";"volgnr1y";"buurty";"huisnry";"lftmy";"gebplmy";"bersmy";"berpmy";"aboeky";"relimy";"bsmy";"lftvy";"relivy";"gebplvy";"nrkindy";"nrbodey";"nrhgy";"relhfdy";"grondbly";"pbly";"patbly";"jrhu1y";"bervamy";"bervavy";"bermhuy";"bergt1y";"relgt1y";"bergt2y";"relgt2y";"bergt3y";"relgt3y";"bergt4y";"relgt4y";"hulftmy";"hulftvy";"volgnr2y";"bsvy";"gebplv1y";"jrhu2y";"bervam2y";"bervav2y";"bermhu2y";"bergt12y";"relgt12y";"bergt22y";"relgt22y";"bergt32y";"relgt32y";"bergt42y";"relgt42y";"hulftm2y";"hulftv2y";"bsv2y";"gebplv2y";"jrhu3y";"bervam3y";"bervav3y";"bermhu3y";"bergt13y";"relgt13y";"bergt23y";"relgt23y";"bergt33y";"relgt33y";"bergt43y";"relgt43y";"hulftm3y";"hulftv3y";"bsv3y";"gebplv3y";"tot3bly";"grblgy";"pblgy";"patblgy";"omvhhy";"berpm00y";"berpm0y";"totbly";"lftklasy"
1;100051;"J";530;30;"Amsterdam";"LEERBEW";"ambachtsman";"als in bev.register";"Rooms Katholiek";"gehuwd";32;"Rooms Katholiek";"ov. Limburg";2;2;0;-1;68;66;40;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100052;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;174;4;4;3;6;2;21;2;3
1;100101;"E";18;46;"Amsterdam";"VERKEERSWEZEN";240;"als in bev.register";"Nederlands Hervormd";"gehuwd";45;"Nederlands Hervormd";"Amsterdam";8;2;2;"ouder";314;245;229;1828;"vader overleden";"uitdrager";"werklieden";"timmerman";"geen familie";"ambachtsman";"geen familie";"timmerman";"geen familie";"ambachtsman";"geen familie";20;19;100102;"ongehuwd";"Amsterdam";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;788;6;5;5;14;2;24;4;4
1;100151;"AA";592;47;"Amsterdam";"TUSSENHANDEL";"comm. in effecten";"als in bev.register";"Remonstrants";"gehuwd";37;"Nederlands Hervormd";"Amsterdam";3;2;0;-1;0;90;64;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100152;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;154;1;4;4;7;6;65;2;4
1;100201;"LL";379;65;"Amsterdam";"WARENHANDEL";"koopman";"als in bev.register";"Rooms Katholiek";"gehuwd";60;"Rooms Katholiek";"Amsterdam";3;3;0;-1;318;312;265;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100202;-1;-1;1819;"ambachtsman";"vader overleden";"koopman";"koopman";"geen familie";"werklieden";"geen familie";"ambachtsman";7;"werklieden";"geen familie";31;25;"ongehuwd";"Amsterdam";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;895;6;6;6;8;6;61;4;6
1;100251;"X";704;66;"Amsterdam";323;"ambtenaar";"als in bev.register";"Nederlands Hervormd";"gehuwd";59;"Nederlands Hervormd";"Amsterdam";0;2;3;-1;150;303;0;1816;"vader overleden";"ambtenaar";"koopman";"ambtenaar";"oom/neef man";"koopman";"broer/zwager man";"lid Staten-Generaal";"oom/neef vrouw";"lid gemeenteraad asd";"oom/neef vrouw";29;21;100252;"ongehuwd";"Amsterdam";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;453;5;6;1;7;4;41;3;6
1;100301;"F";119;36;"N-Brabant steden";"WARENHANDEL";"drogist";"als in bev.register";"Rooms Katholiek";"gehuwd";31;"Rooms Katholiek";"N-Brabant steden";0;1;0;-1;0;92;53;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100302;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;145;1;4;4;3;2;22;2;3
1;100351;"X";5;33;"Amsterdam";"VOEDINGS EN GENOTMID";"fabrikanten";"als in bev.register";"Rooms Katholiek";"gehuwd";24;"Rooms Katholiek";"Amsterdam";1;1;0;-1;0;161;19;1850;"zonder";"vader overleden";"fabrikanten";"wijnkoopman";"broer/zwager vrouw";"timmerman";"broer/zwager vrouw";"zonder";"geen familie";"ambtenaar";"geen familie";29;21;100352;"ongehuwd";"Amsterdam";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;180;1;5;2;4;1;11;2;3
1;100401;"N";427;46;"Amsterdam";"WARENHANDEL";"koopman";"als in bev.register";"Nederlands Hervormd";"gehuwd";45;"Nederlands Hervormd";"Amsterdam";4;1;0;-1;117;48;87;1834;"zonder";"zonder";"koopman";"zonder";"vader man";"zonder";"vader vrouw";"artistiek beroep";"broer/zwager vrouw";"commissionair";"geen familie";26;25;100402;"ongehuwd";"Amsterdam";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;252;5;3;4;7;6;61;3;4
1;100501;"D";81;42;"Z-Holl. steden";303;"notaris";"als in bev.register";"Nederlands Hervormd";"ongehuwd";-1;-1;-1;0;0;3;-1;0;99;38;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100502;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;137;1;4;3;4;2;23;2;4
1;100451;"Z";680;36;"Amsterdam";255;"advocaat";"als in bev.register";"Nederlands Hervormd";"gehuwd";32;"Nederlands Hervormd";"Amsterdam";0;3;0;-1;97;216;5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;100452;-1;-1;1852;"vader overleden";"koopman";"advocaat";"koopman";"vader vrouw";"zonder";"broer/zwager vrouw";"commissionair";3;"zonder";"oom/neef man";34;30;"ongehuwd";"Amsterdam";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;318;4;5;2;5;2;23;3;3
